date,unemployment benefits,severance,linkedin,jobs near me,indeed
2023-03-05,4.918367346938776,2.418300653594771,59.817914213624896,33.004118050789295,79.42838996506828
2023-03-12,4.918367346938776,2.418300653594771,54.93481917577796,30.55936856554564,75.76246427437282
2023-03-19,4.918367346938776,3.6274509803921564,57.376366694701424,33.004118050789295,83.09431565576374
2023-03-26,4.918367346938776,3.6274509803921564,58.59714045416316,33.004118050789295,83.09431565576374
2023-04-02,4.918367346938776,2.418300653594771,56.155592935239696,33.004118050789295,78.20641473483646
2023-04-09,4.918367346938776,2.418300653594771,57.376366694701424,34.22649279341112,79.42838996506828
2023-04-16,4.918367346938776,2.418300653594771,58.59714045416316,33.004118050789295,83.09431565576374
2023-04-23,4.918367346938776,2.418300653594771,57.376366694701424,34.22649279341112,80.6503651953001
2023-04-30,6.14795918367347,2.418300653594771,58.59714045416316,34.22649279341112,84.31629088599556
2023-05-07,6.14795918367347,2.418300653594771,58.59714045416316,33.004118050789295,83.09431565576374
2023-05-14,6.14795918367347,2.418300653594771,57.376366694701424,37.8936170212766,86.7602413464592
2023-05-21,7.3775510204081645,2.418300653594771,59.817914213624896,41.56074124914207,90.42616703715466
2023-05-28,6.14795918367347,2.418300653594771,52.493271656854496,44.005490734385724,87.98221657669102
2023-06-04,6.14795918367347,2.418300653594771,61.038687973086624,45.22786547700755,95.31406795808194
2023-06-11,6.14795918367347,2.418300653594771,62.25946173254836,48.894989704873026,86.7602413464592
2023-06-18,6.14795918367347,2.418300653594771,57.376366694701424,44.005490734385724,87.98221657669102
2023-06-25,6.14795918367347,3.6274509803921564,62.25946173254836,44.005490734385724,94.09209272785012
2023-07-02,6.14795918367347,2.418300653594771,50.05172413793103,40.338366506520245,85.53826611622738
2023-07-09,6.14795918367347,2.418300653594771,63.48023549201009,41.56074124914207,91.64814226738648
2023-07-16,6.14795918367347,2.418300653594771,63.48023549201009,39.11599176389842,90.42616703715466
2023-07-23,6.14795918367347,2.418300653594771,63.48023549201009,40.338366506520245,86.7602413464592
