date,unemployment benefits,severance,linkedin,jobs near me,indeed
2024-06-16,1.0169491525423728,3.226027397260274,42.8063431042768,38.58976020738821,74.9584846912299
2024-06-23,1.0169491525423728,2.1506849315068495,42.8063431042768,42.87751134154245,77.10015568240789
2024-06-30,1.0169491525423728,2.1506849315068495,35.31523306102836,36.445884640311085,61.03762324857291
2024-07-07,1.0169491525423728,3.226027397260274,41.73618452666988,40.73363577446533,76.0293201868189
2024-07-14,1.0169491525423728,2.1506849315068495,40.66602594906296,40.73363577446533,71.7459782044629
2024-07-21,1.0169491525423728,2.1506849315068495,44.94666025949064,40.73363577446533,71.7459782044629
2024-07-28,1.0169491525423728,2.1506849315068495,40.66602594906296,35.37394685677252,73.88764919564089
2024-08-04,1.0169491525423728,2.1506849315068495,41.73618452666988,37.517822423849644,70.6751427088739
2024-08-11,1.0169491525423728,2.1506849315068495,43.876501681883724,42.87751134154245,73.88764919564089
2024-08-18,1.0169491525423728,2.1506849315068495,43.876501681883724,41.80557355800389,77.10015568240789
2024-08-25,1.0169491525423728,2.1506849315068495,44.94666025949064,40.73363577446533,69.6043072132849
2024-09-01,1.0169491525423728,2.1506849315068495,40.66602594906296,41.80557355800389,66.3918007265179
2024-09-08,1.0169491525423728,2.1506849315068495,42.8063431042768,37.517822423849644,70.6751427088739
2024-09-15,1.0169491525423728,2.1506849315068495,46.01681883709756,37.517822423849644,66.3918007265179
2024-09-22,1.0169491525423728,2.1506849315068495,41.73618452666988,36.445884640311085,59.96678775298392
2024-09-29,2.0338983050847457,2.1506849315068495,42.8063431042768,38.58976020738821,66.3918007265179
2024-10-06,1.0169491525423728,1.0753424657534247,34.24507448342144,25.72650680492547,40.69174883238194
2024-10-13,2.0338983050847457,2.1506849315068495,43.876501681883724,36.445884640311085,64.25012973533991
2024-10-20,2.0338983050847457,2.1506849315068495,43.876501681883724,33.2300712896954,58.89595225739492
2024-10-27,1.0169491525423728,2.1506849315068495,40.66602594906296,35.37394685677252,56.75428126621692
2024-11-03,1.0169491525423728,2.1506849315068495,39.59586737145604,31.086195722618278,55.68344577062792
2024-11-10,1.0169491525423728,2.1506849315068495,42.8063431042768,35.37394685677252,57.825116761805916
2024-11-17,1.0169491525423728,2.1506849315068495,44.94666025949064,34.30200907323396,58.89595225739492
2024-11-24,1.0169491525423728,2.1506849315068495,35.31523306102836,26.798444588464033,42.833419823559936
2024-12-01,1.0169491525423728,3.226027397260274,38.52570879384912,31.086195722618278,53.54177477944992
2024-12-08,1.0169491525423728,3.226027397260274,43.876501681883724,31.086195722618278,50.329268292682926
2024-12-15,1.0169491525423728,3.226027397260274,42.8063431042768,30.014257939079716,48.18759730150493
2024-12-22,1.0169491525423728,3.226027397260274,29.96444017299376,24.65456902138691,41.76258432797094
2024-12-29,1.0169491525423728,6.452054794520548,39.59586737145604,32.15813350615684,52.47093928386093
2025-01-05,1.0169491525423728,8.602739726027398,47.08697741470448,34.30200907323396,65.3209652309289
2025-01-12,1.0169491525423728,23.657534246575345,49.22729456991832,34.30200907323396,66.3918007265179
2025-01-19,1.0169491525423728,23.657534246575345,50.29745314752524,35.37394685677252,59.96678775298392
2025-01-26,1.0169491525423728,21.506849315068493,48.1571359923114,33.2300712896954,59.96678775298392
2025-02-02,2.0338983050847457,21.506849315068493,47.08697741470448,33.2300712896954,57.825116761805916
2025-02-09,2.0338983050847457,20.43150684931507,51.367611725132164,32.15813350615684,57.825116761805916
2025-02-16,1.0169491525423728,25.808219178082194,50.29745314752524,32.15813350615684,58.89595225739492
2025-02-23,1.0169491525423728,24.732876712328768,52.43777030273908,32.15813350615684,54.612610275038925
2025-03-02,1.0169491525423728,29.03424657534247,48.1571359923114,31.086195722618278,53.54177477944992
2025-03-09,1.0169491525423728,26.88356164383562,49.22729456991832,30.014257939079716,53.54177477944992
2025-03-16,2.0338983050847457,36.561643835616444,46.01681883709756,31.086195722618278,48.18759730150493
2025-03-23,1.0169491525423728,31.184931506849317,44.94666025949064,32.15813350615684,54.612610275038925
2025-03-30,1.0169491525423728,19.356164383561644,43.876501681883724,31.086195722618278,54.612610275038925
2025-04-06,1.0169491525423728,12.904109589041097,47.08697741470448,32.15813350615684,50.329268292682926
2025-04-13,1.0169491525423728,9.678082191780822,47.08697741470448,32.15813350615684,53.54177477944992
2025-04-20,1.0169491525423728,8.602739726027398,50.29745314752524,31.086195722618278,52.47093928386093
2025-04-27,1.0169491525423728,7.527397260273974,47.08697741470448,34.30200907323396,53.54177477944992
2025-05-04,1.0169491525423728,6.452054794520548,49.22729456991832,36.445884640311085,52.47093928386093
2025-05-11,1.0169491525423728,6.452054794520548,48.1571359923114,36.445884640311085,52.47093928386093
2025-05-18,2.0338983050847457,5.376712328767123,50.29745314752524,35.37394685677252,54.612610275038925
2025-05-25,1.0169491525423728,6.452054794520548,43.876501681883724,35.37394685677252,54.612610275038925
2025-06-01,1.0169491525423728,5.376712328767123,68.49014896684288,35.37394685677252,54.612610275038925
2025-06-08,1.0169491525423728,4.301369863013699,80.26189332051901,32.15813350615684,51.40010378827193
2025-06-15,1.0169491525423728,4.301369863013699,65.27967323402213,34.30200907323396,50.329268292682926
2025-06-22,1.0169491525423728,4.301369863013699,77.05141758769824,33.2300712896954,51.40010378827193
2025-06-29,1.0169491525423728,4.301369863013699,49.22729456991832,31.086195722618278,48.18759730150493
2025-07-06,1.0169491525423728,4.301369863013699,78.12157616530516,36.445884640311085,53.54177477944992
2025-07-13,2.0338983050847457,5.376712328767123,83.47236905333976,34.30200907323396,53.54177477944992
2025-07-20,1.0169491525423728,5.376712328767123,74.9111004324844,34.30200907323396,53.54177477944992
2025-07-27,2.0338983050847457,4.301369863013699,68.49014896684288,33.2300712896954,51.40010378827193
2025-08-03,1.0169491525423728,4.301369863013699,56.71840461316676,33.2300712896954,55.68344577062792
2025-08-10,1.0169491525423728,4.301369863013699,52.43777030273908,38.58976020738821,53.54177477944992
2025-08-17,2.0338983050847457,5.376712328767123,50.29745314752524,36.445884640311085,52.47093928386093
2025-08-24,2.0338983050847457,4.301369863013699,51.367611725132164,33.2300712896954,51.40010378827193
2025-08-31,2.0338983050847457,4.301369863013699,44.94666025949064,31.086195722618278,50.329268292682926
