,CA,TX,FL
1995-06-17,62730.0,14811.0,11947.0
1995-06-24,66621.0,13541.0,11117.0
1995-07-01,64843.0,13459.0,10094.0
1995-07-08,61853.0,12863.0,12566.0
1995-07-15,64138.0,15040.0,14440.0
1995-07-22,60864.0,14101.0,11471.0
1995-07-29,56917.0,12948.0,9610.0
1995-08-05,61823.0,13809.0,8655.0
1995-08-12,61160.0,14039.0,10313.0
1995-08-19,57256.0,13984.0,9266.0
1995-08-26,55899.0,13343.0,8967.0
1995-09-02,53646.0,12746.0,9635.0
1995-09-09,50791.0,12372.0,8335.0
1995-09-16,58608.0,13615.0,9122.0
1995-09-23,57255.0,13334.0,8040.0
1995-09-30,57831.0,13619.0,7804.0
1995-10-07,66190.0,14556.0,10138.0
1995-10-14,60842.0,15682.0,10221.0
1995-10-21,68145.0,13699.0,10554.0
1995-10-28,64315.0,13379.0,8543.0
1995-11-04,71042.0,14238.0,9415.0
1995-11-11,65218.0,15240.0,7652.0
1995-11-18,75110.0,14604.0,8935.0
1995-11-25,49716.0,12253.0,6650.0
1995-12-02,79779.0,14709.0,8938.0
1995-12-09,72538.0,16421.0,8435.0
1995-12-16,78194.0,14256.0,7411.0
1995-12-23,70517.0,17812.0,8270.0
1995-12-30,58259.0,12931.0,5931.0
1996-01-06,63011.0,11850.0,9373.0
1996-01-13,74133.0,19332.0,11703.0
1996-01-20,67320.0,16683.0,9412.0
1996-01-27,72440.0,17120.0,10228.0
1996-02-03,79209.0,12124.0,9137.0
1996-02-10,86889.0,16671.0,9294.0
1996-02-17,65938.0,14703.0,8691.0
1996-02-24,71538.0,13297.0,8271.0
1996-03-02,76583.0,11665.0,8307.0
1996-03-09,73649.0,12688.0,7930.0
1996-03-16,67954.0,12355.0,8459.0
1996-03-23,62975.0,13491.0,8155.0
1996-03-30,61364.0,12524.0,7584.0
1996-04-06,64300.0,14848.0,9732.0
1996-04-13,58912.0,12623.0,8646.0
1996-04-20,62291.0,12846.0,8739.0
1996-04-27,56812.0,11813.0,8813.0
1996-05-04,61823.0,12201.0,9186.0
1996-05-11,64281.0,12031.0,9883.0
1996-05-18,59892.0,12138.0,8847.0
1996-05-25,58566.0,12804.0,9648.0
1996-06-01,51643.0,13011.0,7703.0
1996-06-08,63944.0,12455.0,12192.0
1996-06-15,61848.0,13972.0,11217.0
1996-06-22,67942.0,12638.0,11638.0
1996-06-29,64094.0,13583.0,9925.0
1996-07-06,58309.0,14174.0,12384.0
1996-07-13,62359.0,12613.0,13193.0
1996-07-20,56731.0,15133.0,11383.0
1996-07-27,57075.0,13448.0,9551.0
1996-08-03,58980.0,11843.0,9316.0
1996-08-10,60898.0,12771.0,9118.0
1996-08-17,54012.0,12108.0,8743.0
1996-08-24,52385.0,12687.0,8636.0
